after,after_request_id,after_request_sequence,after_status,alias,before,before_request_id,before_request_sequence,before_status,block,both_measured,included,order_sequence,painter_id,template_id,weight
style_instruction,b0000-W1-claude_monet-style_instruction-gpt-image-1,421,measured,gpt-image-1,by_name,b0000-W1-claude_monet-by_name-gpt-image-1,420,measured,0,True,True,420,claude_monet,W1,0.015625
style_instruction,b0000-W2-claude_monet-style_instruction-gpt-image-1,12,measured,gpt-image-1,by_name,b0000-W2-claude_monet-by_name-gpt-image-1,13,measured,0,True,True,12,claude_monet,W2,0.015625
style_instruction,b0000-W3-claude_monet-style_instruction-gpt-image-1,308,measured,gpt-image-1,by_name,b0000-W3-claude_monet-by_name-gpt-image-1,307,measured,0,True,True,307,claude_monet,W3,0.015625
style_instruction,b0000-W4-claude_monet-style_instruction-gpt-image-1,114,measured,gpt-image-1,by_name,b0000-W4-claude_monet-by_name-gpt-image-1,116,measured,0,True,True,114,claude_monet,W4,0.015625
style_instruction,b0000-B1-claude_monet-style_instruction-gpt-image-1,155,measured,gpt-image-1,by_name,b0000-B1-claude_monet-by_name-gpt-image-1,153,measured,0,True,True,153,claude_monet,B1,0.015625
style_instruction,b0000-B2-claude_monet-style_instruction-gpt-image-1,143,measured,gpt-image-1,by_name,b0000-B2-claude_monet-by_name-gpt-image-1,141,measured,0,True,True,141,claude_monet,B2,0.015625
style_instruction,b0000-B3-claude_monet-style_instruction-gpt-image-1,396,measured,gpt-image-1,by_name,b0000-B3-claude_monet-by_name-gpt-image-1,397,measured,0,True,True,396,claude_monet,B3,0.015625
style_instruction,b0000-B4-claude_monet-style_instruction-gpt-image-1,391,measured,gpt-image-1,by_name,b0000-B4-claude_monet-by_name-gpt-image-1,392,measured,0,True,True,391,claude_monet,B4,0.015625
style_instruction,b0000-R1-claude_monet-style_instruction-gpt-image-1,191,measured,gpt-image-1,by_name,b0000-R1-claude_monet-by_name-gpt-image-1,190,measured,0,True,True,190,claude_monet,R1,0.015625
style_instruction,b0000-R2-claude_monet-style_instruction-gpt-image-1,456,measured,gpt-image-1,by_name,b0000-R2-claude_monet-by_name-gpt-image-1,457,measured,0,True,True,456,claude_monet,R2,0.015625
style_instruction,b0000-R3-claude_monet-style_instruction-gpt-image-1,64,measured,gpt-image-1,by_name,b0000-R3-claude_monet-by_name-gpt-image-1,65,measured,0,True,True,64,claude_monet,R3,0.015625
style_instruction,b0000-R4-claude_monet-style_instruction-gpt-image-1,33,measured,gpt-image-1,by_name,b0000-R4-claude_monet-by_name-gpt-image-1,35,measured,0,True,True,33,claude_monet,R4,0.015625
style_instruction,b0000-L1-claude_monet-style_instruction-gpt-image-1,295,measured,gpt-image-1,by_name,b0000-L1-claude_monet-by_name-gpt-image-1,294,measured,0,True,True,294,claude_monet,L1,0.015625
style_instruction,b0000-L2-claude_monet-style_instruction-gpt-image-1,376,measured,gpt-image-1,by_name,b0000-L2-claude_monet-by_name-gpt-image-1,377,measured,0,True,True,376,claude_monet,L2,0.015625
style_instruction,b0000-L3-claude_monet-style_instruction-gpt-image-1,36,measured,gpt-image-1,by_name,b0000-L3-claude_monet-by_name-gpt-image-1,38,measured,0,True,True,36,claude_monet,L3,0.015625
