"id","year","short_citation","stable_id","cluster","review_depth","main_evidence","central_limit","evidence_grade","disposition","protocol_consequence"
"PF001","2014","Kim Son and Jeong; Large-scale quantitative analysis of painting arts","10.1038/srep07370","interpretable","full_text","Ranks RGB color use, box-counts occupied RGB gamut, and measures grayscale brightness roughness and weighted entropy across 8798 Web Gallery of Art paintings","One web catalog and period-level comparisons confound painter content medium chronology capture and present-day material condition","C","secondary_candidate","Implement RCD box-count HDC roughness and weighted-entropy formulas only as source-faithful historical baselines; qualify color scale and source variants separately"
"PF002","2018","Lee et al.; Chromatic-distance heterogeneity in paintings","10.1371/journal.pone.0204430","interpretable","full_text","Tests local chromatic-distance distributions and scale normalization across painting groups","Group and reproduction confounds remain; normalized shape can discard magnitude","B","core_candidate","Retain raw response curves and normalized distributions with source and scale gates"
"PF003","2018","Seo et al.; Information-theoretic analysis of color interaction in paintings","10.3938/NPSM.68.693","interpretable","methods_and_results","Partitions three paintings into quasi-homogeneous color blocks and compares multiscale color interaction with eight harmonic templates","Three examples and template-dependent harmony interpretation provide no painter specificity or source robustness","C","diagnostic_only","Do not treat harmony-template agreement as a painter feature; retain multiscale partition logic only as an exploratory color-composition diagnostic"
"PF004","2018","Sigaki Perc and Ribeiro; History of art through entropy and complexity","10.1073/pnas.1800083115","interpretable","full_text","Applies permutation entropy and statistical complexity to more than one hundred thousand paintings","Movement and chronology trends may reflect source resolution codec and corpus composition","C","secondary_candidate","Treat entropy and complexity as descriptive summaries with source and scale sensitivity"
"PF005","2020","Lee et al.; Information-theoretic landscape composition","10.1073/pnas.2011927117","interpretable","full_text","Defines information-theoretic landscape composition statistics and historical comparisons","Genre-specific corpus and surrogate-image domain limit painter claims","B","secondary_candidate","Use as content-specific composition evidence and require cross-content transfer"
"PF006","2025","Kim Lee and Lee; Diversity and stylization of contemporary user-generated visual arts","10.1038/s41598-025-04448-9","interpretable","full_text","Relates ordinal-pattern complexity and entropy to ResNet- and SIFT-based within-group diversity for 149780 DeviantArt and Behance images from 2010 to 2020","Platform categories time export pipelines and user-generated media are entangled; the study does not validate historical-painter distributions","C","background_only","Use only as exploratory platform-level evidence linking local-order coordinates to representation diversity, not as Western-painting or painter-feature qualification"
"PF007","2025","Tarozo et al.; Two-by-two ordinal patterns in art paintings","10.1093/pnasnexus/pgaf092","interpretable","full_text","Defines a tie-aware 75-state two-by-two ordinal distribution and 11 smoothness groups and evaluates style and temporal patterns in 137364 WikiArt paintings","Single-pixel scale exact ties heterogeneous JPEG reproduction and random style splits remain source resolution and label dependent","C","secondary_candidate","Retain the full 75-state distribution and 11 group rates with explicit tie scale perturbation source and held-work checks before scalar summaries"
"PF008","2023","Papia et al.; Complexity analysis of artworks","10.1016/j.chaos.2023.113385","interpretable","methods_and_results","Evaluates nonlinear complexity statistics on digitized art","Limited construct validation and reproduction controls","C","secondary_candidate","Retain as sensitivity family not a universal aesthetic measure"
"PF009","2021","Silva et al.; Image complexity and painter classification","10.1016/j.patcog.2021.107864","interpretable","methods_and_results","Uses image descriptors and learning to discriminate art groups","Classification does not separate content source and painter practice","C","diagnostic_only","Use held-work and nuisance-qualified classification only"
"PF010","2021","Yang et al.; Entropy measures for painting analysis","10.3390/e23070883","interpretable","full_text","Compares entropy-derived descriptors across art-image groups","Downloaded-image processing and label overlap constrain inference","C","secondary_candidate","Require multiscale response curves and work-level inference"
"PF011","2017","Nascimento et al.; The colors of paintings and viewers' preferences","10.1016/j.visres.2016.11.006","color_perception","full_text","Has 50 naive observers rotate the three-dimensional color gamut of 10 paintings and finds pooled preferred orientations close to the originals","Ten works and aesthetic preference do not establish painter specificity or colorimetric fidelity of digital reproductions","B","core_candidate","Use gamut orientation and covariance as human color-organization hypotheses under a declared color workflow, not as painter identity or physical-color truth"
"PF012","2022","Nakauchi et al.; Color distributions and perception of paintings","10.1038/s41598-022-08365-z","color_perception","full_text","Links manipulation of color statistics to perceptual responses","Stimulus and observer domain do not establish painter specificity","B","secondary_candidate","Use controlled color transformations in human and perturbation validation"
